"Sample_Name","MEblack","MEbrown","MEyellow","MEred","MEturquoise","MEblue","MEgreen","MEgrey"
"RS-01",-0.179328629642748,-0.291425647532664,-0.166242859093766,-0.269462950291151,-0.165445525582446,0.0111179748895135,-0.130612788998272,-0.103354229177078
"RS-02",-0.15205865157783,-0.255399340661849,-0.110427592639582,-0.125832889619443,-0.0743185047102477,0.010108827356435,-0.0777171545891585,-0.0920821794915003
"RS-03",-0.0948459221388334,-0.166986043914034,-0.0538473414944464,0.0474341838553284,0.0565023035641305,-0.0522781580169772,-0.0571253146330025,-0.012926737887998
"RS-04",-0.0743613126376486,-0.193882572392126,-0.0491808875845566,-0.025190135399198,-0.06277523249254,0.113797052246191,-0.0300709987915489,-0.0452620119437071
"RS-05",-0.109779421715789,-0.184977936157916,0.0650002375887401,0.0282921973942181,-0.0898242398939648,0.19354994490991,-0.0126766340546179,-0.0229086134817076
"RS-06",-0.00100103259300604,-0.135521776730111,0.0485056432861617,0.0145083473887678,0.0258085658540693,0.0554785670025682,-0.000438586789937182,-0.00635493261828569
"RS-07",0.0294799420636808,-0.0508287984492299,0.109116296566007,0.102926583600639,0.142155420093545,-0.0651105371237001,-0.0507339072727073,0.0647867579810988
"RS-08",0.301283577557469,0.194768243044311,0.299774355690137,0.339107567798683,0.202507618694707,-0.032913838752801,-0.2946492861117,0.311411162309882
"RS-09",0.0889242255983365,0.0280331695955587,0.000918528066468082,-0.158288264580729,0.0641452267542439,-0.291991919891302,0.0205590253910977,-0.0179873881181425
"RS-10",-0.192632642394348,-0.128464531767996,-0.182312835959136,-0.185392952470654,-0.241253011531684,0.116516071700373,0.0369613458628967,-0.1268597329907
"RS-11",-0.00303462161322234,-0.00847141835249936,0.0172064372783962,-0.0542982486739459,0.0512334763121165,-0.0999434016013815,0.0747890781712069,-0.0232248441470201
"RS-12",-0.135227992102519,-0.169100078128891,-0.192714029840076,-0.299861950598649,-0.313763038378149,0.191843879727138,0.117515916885552,-0.260691223102104
"RS-13",-0.00417353329188677,-0.0645947725448806,-0.0929632407649323,-0.0640714505753267,-0.0642785175852111,0.0863656984854256,0.0760442115877778,-0.169268785022518
"RS-14",-0.274418375044171,-0.0946168884047035,-0.0695227312370492,-0.106065706823453,-0.226752242079085,0.220395010543663,0.0345820874460279,-0.0814407998194213
"RS-15",-0.0885799236525815,-0.112787065735692,-0.10293506506566,-0.170354532114052,-0.288247522422886,0.298136059370869,0.109054709786309,-0.174903902003314
"RS-16",0.167006315177045,0.175115687875559,0.0716784597610518,0.200395816219318,-0.0310915977206098,0.0882913075994977,-0.232556833499177,0.178737278349578
"RS-17",-0.0540598586791723,-0.0753638764095416,-0.104590745374078,-0.202263316517147,-0.168021773522047,0.032264653349565,0.0284141231258737,-0.0976981357185017
"RS-18",-0.157311976880854,0.00782674306718509,-0.0212485868481338,0.0485178090500847,0.0874884236122553,-0.153578180826872,0.114953712691183,-0.102336759635359
"RS-20",-0.034864123743335,-0.00788696266553762,-0.0465621858475766,-0.015269197597832,-0.0440352041564447,0.0420833432686648,0.097025462890706,-0.0484125491088573
"RS-21",-0.0454377501761088,-0.0647478871799751,-0.0808569562744549,-0.0771383017106272,-0.0847090116698223,0.0869744838652334,0.0609950466594779,-0.06163248563812
"RS-22",0.0756658502713208,0.0468429564271227,0.0933840882886839,0.0858838653634462,0.114807873747732,-0.0979221141700748,0.037974612326152,0.037238572064388
"RS-23",0.0432529533377982,0.0042072801995659,0.0912923785407441,0.00482382889419541,0.0456316957244875,0.0141485047313949,0.0109360985123077,0.0390938816987208
"RS-24",0.252949815480566,0.400982258228168,0.286696406769767,0.348252991905219,0.271199099266496,-0.2323912685288,-0.371092259445633,0.347304969330944
"RS-25",-0.328287687194247,-0.0984827348952166,-0.132787854256044,-0.1711147563407,-0.192950999576371,0.0857104978059557,0.0758257398976875,-0.161994554479856
"RS-26",-0.153274983410412,-0.124421354924125,-0.109963091272483,-0.16953761862405,-0.143434403917452,0.0499962334421412,0.0938800683999576,-0.133446861135398
"RS-27",0.0583532130573836,0.0242618826400866,0.0430639058172663,-0.0476331801622598,0.101570004453333,-0.239954963881143,0.104347230576162,-0.0176486642453209
"RS-28",0.00345446075686946,0.0486077720996555,0.0485611890751823,0.10260900391253,0.122577386391806,-0.114417509105133,0.101475876379938,0.0113464398300343
"RS-29",-0.00907050545828364,-0.0510179266166251,0.0132104250730468,-0.0684996642407117,0.0158354653476923,-0.002985869154733,0.100985199578983,-0.0859055113356254
"RS-30",-0.0615024369301905,-0.0126053277913503,0.0126307191791122,0.042290427948214,0.019400719427599,0.0558727040835757,0.0636182023658286,-0.0157635227945103
"RS-31",0.159599506416906,0.111335713214854,0.179019488867839,0.152800014593124,0.198972920165675,-0.242175080117191,0.0313015862520752,0.105485021346062
"RS-32",-0.0609431720095549,0.130644161637279,0.145492357950797,0.0944006928126606,0.000195378685302867,0.138286384059631,-0.124157679776452,0.116895669087173
"RS-33",0.0936660360905177,0.0740265170171327,0.069902371756268,-0.0374577832510821,0.113665043056692,-0.222823686274603,0.0208626557675158,0.0494860131222661
"RS-34",-0.111166344358635,0.0710812817720274,0.0869211526089752,0.0379472947506039,0.123296077639661,-0.208330565679536,0.02520253434764,0.0380424480605521
"RS-35",-0.0550849065385984,-0.06831909671237,0.017090231396301,-0.0569828516467263,-0.0765861972149709,0.0592651918100784,0.0864819261820346,-0.0728771927432207
"RS-37",-0.065361770908919,-0.0745575318395888,-0.425677039590881,-0.0814524763734489,-0.151525557591256,0.156667403429275,0.0869156705810228,-0.198274387877655
